Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
994cb47a2b400e6185743e1765244faf	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	100	GreenGenes2
9eda36e35469eb0ba4b8045fa7acabd0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola_A	Phocaeicola_A vulgatus	100	100	100	100	100	100	100	GreenGenes2
9f3938b0148e6fa857077444480b6fd3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola_A	Phocaeicola_A vulgatus	100	100	100	100	100	100	100	GreenGenes2
9fc4609d84db9e441de7db46d7172ae4	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_737866	Enterobacteriaceae_A_725029	Escherichia	Escherichia boydii	100	100	100	100	100	100	95	GreenGenes2
a0530711bdec8d611872863731f96dde	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
a0ec2668157ffb2374ece8cad58ecc5f	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A_650611	Pseudomonadaceae	Pseudomonas_B_650326	NA	100	100	100	100	100	100	100	GreenGenes2
a4fae72fe89706a73b6dfdd8c57ef578	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
a5eb8b5609e1fc4e2e9a4827238b3841	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	100	100	62	62	62	60	GreenGenes2
a8f0a9703e902a87d6be02364e684c50	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
aab4d379026eb5e6a7e2b32ec4c715e7	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	100	GreenGenes2
