sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
16s_mas12_part_046	48917	36624	74.87	36099	36045	73.69
16s_mas12_part_055	48908	36477	74.58	35947	35853	73.31
16s_mas12_part_048	48903	36140	73.9	35683	35608	72.81
16s_mas12_part_057	48890	36168	73.98	35752	35626	72.87
16s_mas12_part_126	48885	35671	72.97	35118	35084	71.77
16s_mas12_part_067	48939	36081	73.73	35601	35522	72.58
16s_mas12_part_264	10469	7691	73.46	7540	7540	72.02
16s_mas12_part_068	48884	36431	74.53	35939	35849	73.33
16s_mas12_part_066	48964	36134	73.8	35647	35567	72.64
16s_mas12_part_215	48850	36220	74.15	35681	35578	72.83
16s_mas12_part_074	48890	35751	73.13	35270	35194	71.99
16s_mas12_part_008	49004	37034	75.57	36523	36472	74.43
16s_mas12_part_083	48884	35160	71.93	34685	34613	70.81
16s_mas12_part_075	48855	36213	74.12	35701	35622	72.91
16s_mas12_part_062	48884	36466	74.6	35969	35892	73.42
16s_mas12_part_018	48878	36714	75.11	36220	36134	73.93
16s_mas12_part_016	48920	36816	75.26	36332	36237	74.07
16s_mas12_part_035	49063	37084	75.58	36580	36475	74.34
16s_mas12_part_058	48838	35982	73.68	35484	35406	72.5
16s_mas12_part_036	48852	36457	74.63	35985	35927	73.54
16s_mas12_part_064	48868	36151	73.98	35607	35541	72.73
16s_mas12_part_084	48773	35719	73.24	35237	35133	72.03
16s_mas12_part_082	48946	36046	73.64	35521	35429	72.38
16s_mas12_part_077	48902	35832	73.27	35348	35279	72.14
16s_mas12_part_262	48831	35886	73.49	35449	35371	72.44
16s_mas12_part_079	48967	36194	73.92	35719	35663	72.83
16s_mas12_part_115	48794	35592	72.94	35115	35003	71.74
16s_mas12_part_056	49016	36642	74.76	36158	36058	73.56
16s_mas12_part_078	48935	35946	73.46	35429	35342	72.22
16s_mas12_part_088	48916	35526	72.63	35034	34936	71.42
16s_mas12_part_089	49016	36534	74.53	36081	35979	73.4
16s_mas12_part_085	48801	35689	73.13	35185	35116	71.96
16s_mas12_part_090	48923	35646	72.86	35156	35070	71.68
16s_mas12_part_096	48989	35570	72.61	35066	34981	71.41
16s_mas12_part_093	48797	35239	72.22	34746	34636	70.98
16s_mas12_part_091	48808	36021	73.8	35573	35471	72.67
16s_mas12_part_094	48742	35020	71.85	34556	34460	70.7
16s_mas12_part_011	48902	36413	74.46	35894	35782	73.17
16s_mas12_part_041	48907	36568	74.77	36081	36007	73.62
16s_mas12_part_009	48881	36866	75.42	36434	36299	74.26
16s_mas12_part_087	48779	35039	71.83	34552	34488	70.7
16s_mas12_part_051	48898	36748	75.15	36225	36168	73.97
16s_mas12_part_080	48899	36113	73.85	35574	35516	72.63
16s_mas12_part_059	48924	36199	73.99	35680	35615	72.8
16s_mas12_part_092	48824	35456	72.62	34891	34777	71.23
16s_mas12_part_095	48935	35755	73.07	35256	35191	71.91
16s_mas12_part_045	48963	37075	75.72	36536	36467	74.48
16s_mas12_part_076	48849	36150	74	35684	35596	72.87
16s_mas12_part_122	48882	35359	72.34	34864	34790	71.17
16s_mas12_part_071	48968	35972	73.46	35491	35439	72.37
16s_mas12_part_098	48770	35255	72.29	34758	34678	71.11
16s_mas12_part_099	48888	35692	73.01	35263	35174	71.95
16s_mas12_part_081	48934	35846	73.25	35321	35261	72.06
16s_mas12_part_097	48774	35761	73.32	35302	35224	72.22
16s_mas12_part_168	48939	35493	72.52	34976	34915	71.34
16s_mas12_part_208	49002	36378	74.24	35891	35803	73.06
16s_mas12_part_017	48950	36589	74.75	36081	35977	73.5
16s_mas12_part_173	48787	35666	73.11	35214	35091	71.93
16s_mas12_part_142	48937	35621	72.79	35175	35052	71.63
16s_mas12_part_211	48844	36232	74.18	35764	35690	73.07
16s_mas12_part_125	48800	35834	73.43	35292	35231	72.19
16s_mas12_part_138	48836	35522	72.74	35002	34971	71.61
16s_mas12_part_205	48849	36262	74.23	35776	35694	73.07
16s_mas12_part_015	48949	36614	74.8	36147	36081	73.71
16s_mas12_part_134	48828	35306	72.31	34813	34720	71.11
16s_mas12_part_121	48729	35225	72.29	34723	34633	71.07
16s_mas12_part_166	48779	35183	72.13	34718	34657	71.05
16s_mas12_part_136	48929	35556	72.67	35073	35033	71.6
16s_mas12_part_191	48969	35912	73.34	35383	35336	72.16
16s_mas12_part_159	48864	35529	72.71	35078	34969	71.56
16s_mas12_part_162	48970	35593	72.68	35093	34996	71.46
